"","dates","quantile","value"
"1",2020-03-31,"1%",51
"2",2020-04-01,"1%",53
"3",2020-04-02,"1%",54
"4",2020-04-03,"1%",60
"5",2020-04-04,"1%",59
"6",2020-04-05,"1%",61.99
"7",2020-04-06,"1%",61
"8",2020-04-07,"1%",67.98
"9",2020-04-08,"1%",69
"10",2020-04-09,"1%",70.99
"11",2020-04-10,"1%",74
"12",2020-04-11,"1%",76
"13",2020-04-12,"1%",77.98
"14",2020-04-13,"1%",77.98
"15",2020-04-14,"1%",82.98
"16",2020-04-15,"1%",84.99
"17",2020-04-16,"1%",88
"18",2020-04-17,"1%",89.99
"19",2020-04-18,"1%",93
"20",2020-04-19,"1%",95
"21",2020-04-20,"1%",94
"22",2020-04-21,"1%",99.99
"23",2020-04-22,"1%",105
"24",2020-04-23,"1%",111
"25",2020-04-24,"1%",110.99
"26",2020-04-25,"1%",114.99
"27",2020-04-26,"1%",118.99
"28",2020-04-27,"1%",120
"29",2020-04-28,"1%",128.99
"30",2020-04-29,"1%",133.99
"31",2020-03-31,"25%",67
"32",2020-04-01,"25%",70
"33",2020-04-02,"25%",74
"34",2020-04-03,"25%",77
"35",2020-04-04,"25%",79
"36",2020-04-05,"25%",83
"37",2020-04-06,"25%",84
"38",2020-04-07,"25%",87
"39",2020-04-08,"25%",90
"40",2020-04-09,"25%",93
"41",2020-04-10,"25%",96
"42",2020-04-11,"25%",99
"43",2020-04-12,"25%",102
"44",2020-04-13,"25%",105
"45",2020-04-14,"25%",109
"46",2020-04-15,"25%",112
"47",2020-04-16,"25%",115
"48",2020-04-17,"25%",119
"49",2020-04-18,"25%",122
"50",2020-04-19,"25%",128
"51",2020-04-20,"25%",132
"52",2020-04-21,"25%",136
"53",2020-04-22,"25%",140
"54",2020-04-23,"25%",145
"55",2020-04-24,"25%",149
"56",2020-04-25,"25%",151
"57",2020-04-26,"25%",158
"58",2020-04-27,"25%",164
"59",2020-04-28,"25%",168
"60",2020-04-29,"25%",172
"61",2020-03-31,"50%",75
"62",2020-04-01,"50%",78
"63",2020-04-02,"50%",82
"64",2020-04-03,"50%",86
"65",2020-04-04,"50%",88
"66",2020-04-05,"50%",91
"67",2020-04-06,"50%",94
"68",2020-04-07,"50%",98
"69",2020-04-08,"50%",101
"70",2020-04-09,"50%",104
"71",2020-04-10,"50%",107
"72",2020-04-11,"50%",110
"73",2020-04-12,"50%",113
"74",2020-04-13,"50%",118
"75",2020-04-14,"50%",121
"76",2020-04-15,"50%",125
"77",2020-04-16,"50%",128
"78",2020-04-17,"50%",132
"79",2020-04-18,"50%",136
"80",2020-04-19,"50%",143
"81",2020-04-20,"50%",146
"82",2020-04-21,"50%",151
"83",2020-04-22,"50%",155
"84",2020-04-23,"50%",161
"85",2020-04-24,"50%",167
"86",2020-04-25,"50%",171
"87",2020-04-26,"50%",177
"88",2020-04-27,"50%",182
"89",2020-04-28,"50%",186
"90",2020-04-29,"50%",195
"91",2020-03-31,"75%",83
"92",2020-04-01,"75%",87
"93",2020-04-02,"75%",90
"94",2020-04-03,"75%",94
"95",2020-04-04,"75%",97.25
"96",2020-04-05,"75%",101
"97",2020-04-06,"75%",104
"98",2020-04-07,"75%",106
"99",2020-04-08,"75%",111
"100",2020-04-09,"75%",114
"101",2020-04-10,"75%",118
"102",2020-04-11,"75%",121
"103",2020-04-12,"75%",124
"104",2020-04-13,"75%",131
"105",2020-04-14,"75%",134
"106",2020-04-15,"75%",139
"107",2020-04-16,"75%",142
"108",2020-04-17,"75%",147
"109",2020-04-18,"75%",150
"110",2020-04-19,"75%",157
"111",2020-04-20,"75%",162
"112",2020-04-21,"75%",168
"113",2020-04-22,"75%",172
"114",2020-04-23,"75%",180
"115",2020-04-24,"75%",185
"116",2020-04-25,"75%",189
"117",2020-04-26,"75%",197
"118",2020-04-27,"75%",204
"119",2020-04-28,"75%",207
"120",2020-04-29,"75%",214.25
"121",2020-03-31,"99%",104
"122",2020-04-01,"99%",108
"123",2020-04-02,"99%",111.01
"124",2020-04-03,"99%",115
"125",2020-04-04,"99%",120
"126",2020-04-05,"99%",125
"127",2020-04-06,"99%",130
"128",2020-04-07,"99%",133
"129",2020-04-08,"99%",139.01
"130",2020-04-09,"99%",140.01
"131",2020-04-10,"99%",145
"132",2020-04-11,"99%",153.01
"133",2020-04-12,"99%",161.01
"134",2020-04-13,"99%",163
"135",2020-04-14,"99%",170
"136",2020-04-15,"99%",174.01
"137",2020-04-16,"99%",183.01
"138",2020-04-17,"99%",188.01
"139",2020-04-18,"99%",192.01
"140",2020-04-19,"99%",197.01
"141",2020-04-20,"99%",202.06
"142",2020-04-21,"99%",216.01
"143",2020-04-22,"99%",223
"144",2020-04-23,"99%",230.02
"145",2020-04-24,"99%",237.01
"146",2020-04-25,"99%",240.02
"147",2020-04-26,"99%",249.03
"148",2020-04-27,"99%",259.01
"149",2020-04-28,"99%",279
"150",2020-04-29,"99%",281.01
