"","dates","quantile","value"
"1",2020-03-31,"1%",24
"2",2020-04-01,"1%",21
"3",2020-04-02,"1%",20
"4",2020-04-03,"1%",21
"5",2020-04-04,"1%",22
"6",2020-04-05,"1%",20
"7",2020-04-06,"1%",19
"8",2020-04-07,"1%",19
"9",2020-04-08,"1%",19
"10",2020-04-09,"1%",18
"11",2020-04-10,"1%",17
"12",2020-04-11,"1%",18
"13",2020-04-12,"1%",17
"14",2020-04-13,"1%",16.99
"15",2020-04-14,"1%",17
"16",2020-04-15,"1%",15
"17",2020-04-16,"1%",17
"18",2020-04-17,"1%",15
"19",2020-04-18,"1%",15
"20",2020-04-19,"1%",15
"21",2020-04-20,"1%",14.99
"22",2020-04-21,"1%",14
"23",2020-04-22,"1%",15
"24",2020-04-23,"1%",14
"25",2020-04-24,"1%",14
"26",2020-04-25,"1%",14
"27",2020-04-26,"1%",14
"28",2020-04-27,"1%",13
"29",2020-04-28,"1%",11
"30",2020-04-29,"1%",13
"31",2020-03-31,"25%",34
"32",2020-04-01,"25%",33
"33",2020-04-02,"25%",32
"34",2020-04-03,"25%",32
"35",2020-04-04,"25%",31
"36",2020-04-05,"25%",30
"37",2020-04-06,"25%",30
"38",2020-04-07,"25%",30
"39",2020-04-08,"25%",30
"40",2020-04-09,"25%",29
"41",2020-04-10,"25%",29
"42",2020-04-11,"25%",28
"43",2020-04-12,"25%",28
"44",2020-04-13,"25%",27
"45",2020-04-14,"25%",27
"46",2020-04-15,"25%",27
"47",2020-04-16,"25%",27
"48",2020-04-17,"25%",26
"49",2020-04-18,"25%",26
"50",2020-04-19,"25%",25
"51",2020-04-20,"25%",25
"52",2020-04-21,"25%",24
"53",2020-04-22,"25%",25
"54",2020-04-23,"25%",24
"55",2020-04-24,"25%",24
"56",2020-04-25,"25%",24
"57",2020-04-26,"25%",23
"58",2020-04-27,"25%",23
"59",2020-04-28,"25%",23
"60",2020-04-29,"25%",22
"61",2020-03-31,"50%",40
"62",2020-04-01,"50%",38
"63",2020-04-02,"50%",37
"64",2020-04-03,"50%",36
"65",2020-04-04,"50%",36
"66",2020-04-05,"50%",36
"67",2020-04-06,"50%",35
"68",2020-04-07,"50%",35
"69",2020-04-08,"50%",35
"70",2020-04-09,"50%",34
"71",2020-04-10,"50%",34
"72",2020-04-11,"50%",33
"73",2020-04-12,"50%",33
"74",2020-04-13,"50%",32.5
"75",2020-04-14,"50%",32
"76",2020-04-15,"50%",32
"77",2020-04-16,"50%",32
"78",2020-04-17,"50%",31
"79",2020-04-18,"50%",30
"80",2020-04-19,"50%",30
"81",2020-04-20,"50%",30
"82",2020-04-21,"50%",29.5
"83",2020-04-22,"50%",29
"84",2020-04-23,"50%",29
"85",2020-04-24,"50%",28
"86",2020-04-25,"50%",28
"87",2020-04-26,"50%",27
"88",2020-04-27,"50%",27
"89",2020-04-28,"50%",27
"90",2020-04-29,"50%",26
"91",2020-03-31,"75%",45
"92",2020-04-01,"75%",44
"93",2020-04-02,"75%",43
"94",2020-04-03,"75%",42
"95",2020-04-04,"75%",42
"96",2020-04-05,"75%",41
"97",2020-04-06,"75%",40
"98",2020-04-07,"75%",40
"99",2020-04-08,"75%",40
"100",2020-04-09,"75%",40
"101",2020-04-10,"75%",39
"102",2020-04-11,"75%",39
"103",2020-04-12,"75%",39
"104",2020-04-13,"75%",38
"105",2020-04-14,"75%",38
"106",2020-04-15,"75%",38
"107",2020-04-16,"75%",37
"108",2020-04-17,"75%",36
"109",2020-04-18,"75%",36
"110",2020-04-19,"75%",36
"111",2020-04-20,"75%",35
"112",2020-04-21,"75%",35
"113",2020-04-22,"75%",34
"114",2020-04-23,"75%",35
"115",2020-04-24,"75%",34
"116",2020-04-25,"75%",34
"117",2020-04-26,"75%",33
"118",2020-04-27,"75%",33
"119",2020-04-28,"75%",33
"120",2020-04-29,"75%",32
"121",2020-03-31,"99%",61
"122",2020-04-01,"99%",58.01
"123",2020-04-02,"99%",57.01
"124",2020-04-03,"99%",57.01
"125",2020-04-04,"99%",57.01
"126",2020-04-05,"99%",56
"127",2020-04-06,"99%",56
"128",2020-04-07,"99%",56
"129",2020-04-08,"99%",56
"130",2020-04-09,"99%",54.01
"131",2020-04-10,"99%",53.01
"132",2020-04-11,"99%",55.01
"133",2020-04-12,"99%",54
"134",2020-04-13,"99%",53
"135",2020-04-14,"99%",53
"136",2020-04-15,"99%",55
"137",2020-04-16,"99%",53
"138",2020-04-17,"99%",52
"139",2020-04-18,"99%",52
"140",2020-04-19,"99%",51
"141",2020-04-20,"99%",51.02
"142",2020-04-21,"99%",52.01
"143",2020-04-22,"99%",51
"144",2020-04-23,"99%",49.03
"145",2020-04-24,"99%",48
"146",2020-04-25,"99%",48.01
"147",2020-04-26,"99%",48.01
"148",2020-04-27,"99%",49
"149",2020-04-28,"99%",47.01
"150",2020-04-29,"99%",46
