"","dates","quantile","value"
"1",2020-03-24,"1%",106
"2",2020-03-25,"1%",113.99
"3",2020-03-26,"1%",112.99
"4",2020-03-27,"1%",118
"5",2020-03-28,"1%",126.99
"6",2020-03-29,"1%",131.99
"7",2020-03-30,"1%",139.98
"8",2020-03-31,"1%",153
"9",2020-04-01,"1%",154.98
"10",2020-04-02,"1%",169
"11",2020-04-03,"1%",179.97
"12",2020-04-04,"1%",196.99
"13",2020-04-05,"1%",204.99
"14",2020-04-06,"1%",218.98
"15",2020-04-07,"1%",84.99
"16",2020-04-08,"1%",86.99
"17",2020-04-09,"1%",88
"18",2020-04-10,"1%",90.99
"19",2020-04-11,"1%",89.98
"20",2020-04-12,"1%",86.99
"21",2020-04-13,"1%",83
"22",2020-04-14,"1%",79
"23",2020-04-15,"1%",75.96
"24",2020-04-16,"1%",65.99
"25",2020-04-17,"1%",65
"26",2020-04-18,"1%",62.99
"27",2020-04-19,"1%",59
"28",2020-04-20,"1%",56.99
"29",2020-04-21,"1%",54
"30",2020-04-22,"1%",50.99
"31",2020-04-23,"1%",46.99
"32",2020-04-24,"1%",43.99
"33",2020-04-25,"1%",40
"34",2020-04-26,"1%",41
"35",2020-04-27,"1%",35
"36",2020-04-28,"1%",33.99
"37",2020-04-29,"1%",32
"38",2020-04-30,"1%",31.99
"39",2020-05-01,"1%",27
"40",2020-05-02,"1%",27.99
"41",2020-05-03,"1%",25
"42",2020-05-04,"1%",23
"43",2020-05-05,"1%",23
"44",2020-05-06,"1%",23
"45",2020-05-07,"1%",21
"46",2020-05-08,"1%",18
"47",2020-05-09,"1%",18
"48",2020-05-10,"1%",17
"49",2020-05-11,"1%",16
"50",2020-05-12,"1%",14
"51",2020-05-13,"1%",13
"52",2020-05-14,"1%",12.99
"53",2020-05-15,"1%",11
"54",2020-05-16,"1%",10.99
"55",2020-05-17,"1%",10
"56",2020-05-18,"1%",10
"57",2020-05-19,"1%",10
"58",2020-05-20,"1%",8.99
"59",2020-05-21,"1%",7
"60",2020-05-22,"1%",6
"61",2020-03-24,"25%",139
"62",2020-03-25,"25%",143
"63",2020-03-26,"25%",152.75
"64",2020-03-27,"25%",157
"65",2020-03-28,"25%",166
"66",2020-03-29,"25%",178
"67",2020-03-30,"25%",187
"68",2020-03-31,"25%",197
"69",2020-04-01,"25%",209
"70",2020-04-02,"25%",226
"71",2020-04-03,"25%",238
"72",2020-04-04,"25%",251
"73",2020-04-05,"25%",265.75
"74",2020-04-06,"25%",285
"75",2020-04-07,"25%",127.75
"76",2020-04-08,"25%",132
"77",2020-04-09,"25%",137
"78",2020-04-10,"25%",140
"79",2020-04-11,"25%",139.75
"80",2020-04-12,"25%",135
"81",2020-04-13,"25%",125.75
"82",2020-04-14,"25%",118
"83",2020-04-15,"25%",113
"84",2020-04-16,"25%",106
"85",2020-04-17,"25%",102
"86",2020-04-18,"25%",97
"87",2020-04-19,"25%",91
"88",2020-04-20,"25%",88
"89",2020-04-21,"25%",82
"90",2020-04-22,"25%",77
"91",2020-04-23,"25%",72
"92",2020-04-24,"25%",70
"93",2020-04-25,"25%",67
"94",2020-04-26,"25%",63
"95",2020-04-27,"25%",60
"96",2020-04-28,"25%",57
"97",2020-04-29,"25%",53
"98",2020-04-30,"25%",51
"99",2020-05-01,"25%",48
"100",2020-05-02,"25%",46
"101",2020-05-03,"25%",43
"102",2020-05-04,"25%",42
"103",2020-05-05,"25%",39
"104",2020-05-06,"25%",37
"105",2020-05-07,"25%",35
"106",2020-05-08,"25%",33.75
"107",2020-05-09,"25%",31
"108",2020-05-10,"25%",30
"109",2020-05-11,"25%",28
"110",2020-05-12,"25%",26
"111",2020-05-13,"25%",26
"112",2020-05-14,"25%",24
"113",2020-05-15,"25%",23
"114",2020-05-16,"25%",22
"115",2020-05-17,"25%",21
"116",2020-05-18,"25%",19
"117",2020-05-19,"25%",19
"118",2020-05-20,"25%",17
"119",2020-05-21,"25%",16
"120",2020-05-22,"25%",16
"121",2020-03-24,"50%",154
"122",2020-03-25,"50%",160
"123",2020-03-26,"50%",168
"124",2020-03-27,"50%",175
"125",2020-03-28,"50%",184.5
"126",2020-03-29,"50%",198
"127",2020-03-30,"50%",208
"128",2020-03-31,"50%",221
"129",2020-04-01,"50%",235
"130",2020-04-02,"50%",252.5
"131",2020-04-03,"50%",265
"132",2020-04-04,"50%",280
"133",2020-04-05,"50%",297
"134",2020-04-06,"50%",317
"135",2020-04-07,"50%",149.5
"136",2020-04-08,"50%",154.5
"137",2020-04-09,"50%",159
"138",2020-04-10,"50%",164.5
"139",2020-04-11,"50%",161
"140",2020-04-12,"50%",156
"141",2020-04-13,"50%",147
"142",2020-04-14,"50%",137
"143",2020-04-15,"50%",132
"144",2020-04-16,"50%",126
"145",2020-04-17,"50%",119
"146",2020-04-18,"50%",114
"147",2020-04-19,"50%",108
"148",2020-04-20,"50%",102
"149",2020-04-21,"50%",97
"150",2020-04-22,"50%",92
"151",2020-04-23,"50%",87
"152",2020-04-24,"50%",84
"153",2020-04-25,"50%",79
"154",2020-04-26,"50%",75
"155",2020-04-27,"50%",71
"156",2020-04-28,"50%",68
"157",2020-04-29,"50%",64
"158",2020-04-30,"50%",61
"159",2020-05-01,"50%",57
"160",2020-05-02,"50%",56
"161",2020-05-03,"50%",52
"162",2020-05-04,"50%",51
"163",2020-05-05,"50%",48
"164",2020-05-06,"50%",45
"165",2020-05-07,"50%",43
"166",2020-05-08,"50%",41
"167",2020-05-09,"50%",39
"168",2020-05-10,"50%",37
"169",2020-05-11,"50%",35
"170",2020-05-12,"50%",33
"171",2020-05-13,"50%",32
"172",2020-05-14,"50%",30
"173",2020-05-15,"50%",29
"174",2020-05-16,"50%",28
"175",2020-05-17,"50%",26
"176",2020-05-18,"50%",25
"177",2020-05-19,"50%",24
"178",2020-05-20,"50%",22
"179",2020-05-21,"50%",21
"180",2020-05-22,"50%",20
"181",2020-03-24,"75%",169
"182",2020-03-25,"75%",179
"183",2020-03-26,"75%",185
"184",2020-03-27,"75%",195
"185",2020-03-28,"75%",205
"186",2020-03-29,"75%",217
"187",2020-03-30,"75%",232
"188",2020-03-31,"75%",248
"189",2020-04-01,"75%",260
"190",2020-04-02,"75%",277.25
"191",2020-04-03,"75%",295
"192",2020-04-04,"75%",310.25
"193",2020-04-05,"75%",329
"194",2020-04-06,"75%",351.25
"195",2020-04-07,"75%",170
"196",2020-04-08,"75%",177
"197",2020-04-09,"75%",185
"198",2020-04-10,"75%",192
"199",2020-04-11,"75%",187.25
"200",2020-04-12,"75%",181
"201",2020-04-13,"75%",172
"202",2020-04-14,"75%",159
"203",2020-04-15,"75%",154
"204",2020-04-16,"75%",147
"205",2020-04-17,"75%",139
"206",2020-04-18,"75%",133
"207",2020-04-19,"75%",126
"208",2020-04-20,"75%",120
"209",2020-04-21,"75%",114.25
"210",2020-04-22,"75%",109
"211",2020-04-23,"75%",101
"212",2020-04-24,"75%",99
"213",2020-04-25,"75%",93
"214",2020-04-26,"75%",88
"215",2020-04-27,"75%",84
"216",2020-04-28,"75%",80.25
"217",2020-04-29,"75%",76
"218",2020-04-30,"75%",73
"219",2020-05-01,"75%",69
"220",2020-05-02,"75%",66
"221",2020-05-03,"75%",63.25
"222",2020-05-04,"75%",60.25
"223",2020-05-05,"75%",58
"224",2020-05-06,"75%",54
"225",2020-05-07,"75%",51
"226",2020-05-08,"75%",49.25
"227",2020-05-09,"75%",48
"228",2020-05-10,"75%",45
"229",2020-05-11,"75%",43
"230",2020-05-12,"75%",41
"231",2020-05-13,"75%",40
"232",2020-05-14,"75%",37
"233",2020-05-15,"75%",36
"234",2020-05-16,"75%",34
"235",2020-05-17,"75%",32
"236",2020-05-18,"75%",30
"237",2020-05-19,"75%",29
"238",2020-05-20,"75%",27
"239",2020-05-21,"75%",27
"240",2020-05-22,"75%",26
"241",2020-03-24,"99%",208
"242",2020-03-25,"99%",220
"243",2020-03-26,"99%",230
"244",2020-03-27,"99%",241.02
"245",2020-03-28,"99%",254
"246",2020-03-29,"99%",269.01
"247",2020-03-30,"99%",288.01
"248",2020-03-31,"99%",311.01
"249",2020-04-01,"99%",322.01
"250",2020-04-02,"99%",352
"251",2020-04-03,"99%",372
"252",2020-04-04,"99%",379
"253",2020-04-05,"99%",424
"254",2020-04-06,"99%",449
"255",2020-04-07,"99%",227.03
"256",2020-04-08,"99%",248.06
"257",2020-04-09,"99%",257.01
"258",2020-04-10,"99%",265
"259",2020-04-11,"99%",259.03
"260",2020-04-12,"99%",252.05
"261",2020-04-13,"99%",235.02
"262",2020-04-14,"99%",224.01
"263",2020-04-15,"99%",216
"264",2020-04-16,"99%",206.05
"265",2020-04-17,"99%",199.02
"266",2020-04-18,"99%",189
"267",2020-04-19,"99%",177.02
"268",2020-04-20,"99%",172
"269",2020-04-21,"99%",163
"270",2020-04-22,"99%",152.09
"271",2020-04-23,"99%",145.01
"272",2020-04-24,"99%",139.01
"273",2020-04-25,"99%",136.01
